state,year,metric,value
Arunachal Pradesh,2017,Sales/Trade Tax,285.13
Arunachal Pradesh,2017,Share in Union Taxes,9238.79
Arunachal Pradesh,2017,Stamps & Registration,10.42
Arunachal Pradesh,2017,State Excise,122.61
Arunachal Pradesh,2017,Total Revenue Receipts,13774.6
Arunachal Pradesh,2018,Capital: Internal Debt,1204.97
Arunachal Pradesh,2018,Capital: Loan Recoveries,5.08
Arunachal Pradesh,2018,Capital: Loans from Centre,0.0
Arunachal Pradesh,2018,Capital: Misc Receipts,0.0
Arunachal Pradesh,2018,Capital: Public Debt Receipts,1204.97
Arunachal Pradesh,2018,FC Grant: Health,0.0
Arunachal Pradesh,2018,FC Grant: Others,0.0
Arunachal Pradesh,2018,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2018,FC Grant: Rural Local Bodies,70.57
Arunachal Pradesh,2018,FC Grant: SDMF,0.0
Arunachal Pradesh,2018,FC Grant: SDRF,54.0
Arunachal Pradesh,2018,FC Grant: Urban Local Bodies,0.0
Arunachal Pradesh,2018,Grants in Aid,4082.88
Arunachal Pradesh,2018,Motor Vehicle Tax,32.43
Arunachal Pradesh,2018,Non-Debt Capital Receipts,5.08
Arunachal Pradesh,2018,Non-Tax Revenue,608.87
Arunachal Pradesh,2018,SGST,601.0
Arunachal Pradesh,2018,SOTR,1068.04
Arunachal Pradesh,2018,Sales/Trade Tax,268.74
Arunachal Pradesh,2018,Share in Union Taxes,10436.14
Arunachal Pradesh,2018,Stamps & Registration,9.16
Arunachal Pradesh,2018,State Excise,136.73
Arunachal Pradesh,2018,Total Revenue Receipts,16195.93
Arunachal Pradesh,2019,Capital: Internal Debt,1790.7
Arunachal Pradesh,2019,Capital: Loan Recoveries,7.03
Arunachal Pradesh,2019,Capital: Loans from Centre,0.0
Arunachal Pradesh,2019,Capital: Misc Receipts,0.0
Arunachal Pradesh,2019,Capital: Public Debt Receipts,1790.7
Arunachal Pradesh,2019,FC Grant: Health,0.0
Arunachal Pradesh,2019,FC Grant: Others,0.0
Arunachal Pradesh,2019,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2019,FC Grant: Rural Local Bodies,152.49
Arunachal Pradesh,2019,FC Grant: SDMF,0.0
Arunachal Pradesh,2019,FC Grant: SDRF,56.7
Arunachal Pradesh,2019,FC Grant: Urban Local Bodies,171.8
Arunachal Pradesh,2019,Grants in Aid,4020.87
Arunachal Pradesh,2019,Motor Vehicle Tax,38.12
Arunachal Pradesh,2019,Non-Debt Capital Receipts,7.03
Arunachal Pradesh,2019,Non-Tax Revenue,651.38
Arunachal Pradesh,2019,SGST,801.55
Arunachal Pradesh,2019,SOTR,1228.73
Arunachal Pradesh,2019,Sales/Trade Tax,219.82
Arunachal Pradesh,2019,Share in Union Taxes,8987.57
Arunachal Pradesh,2019,Stamps & Registration,8.15
Arunachal Pradesh,2019,State Excise,144.97
Arunachal Pradesh,2019,Total Revenue Receipts,14888.55
Arunachal Pradesh,2020,Capital: Internal Debt,1283.09
Arunachal Pradesh,2020,Capital: Loan Recoveries,5.94
Arunachal Pradesh,2020,Capital: Loans from Centre,232.97
Arunachal Pradesh,2020,Capital: Misc Receipts,0.0
Arunachal Pradesh,2020,Capital: Public Debt Receipts,1516.06
Arunachal Pradesh,2020,FC Grant: Health,0.0
Arunachal Pradesh,2020,FC Grant: Others,0.0
Arunachal Pradesh,2020,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2020,FC Grant: Rural Local Bodies,476.55
Arunachal Pradesh,2020,FC Grant: SDMF,250.0
Arunachal Pradesh,2020,FC Grant: SDRF,0.0
Arunachal Pradesh,2020,FC Grant: Urban Local Bodies,55.5
Arunachal Pradesh,2020,Grants in Aid,4383.299999999999
Arunachal Pradesh,2020,Motor Vehicle Tax,32.71
Arunachal Pradesh,2020,Non-Debt Capital Receipts,5.94
Arunachal Pradesh,2020,Non-Tax Revenue,836.53
Arunachal Pradesh,2020,SGST,859.29
Arunachal Pradesh,2020,SOTR,1431.1
Arunachal Pradesh,2020,Sales/Trade Tax,283.09
Arunachal Pradesh,2020,Share in Union Taxes,10472.58
Arunachal Pradesh,2020,Stamps & Registration,10.47
Arunachal Pradesh,2020,State Excise,238.02
Arunachal Pradesh,2020,Total Revenue Receipts,17123.51
Arunachal Pradesh,2021,Capital: Internal Debt,1111.52
Arunachal Pradesh,2021,Capital: Loan Recoveries,6.85
Arunachal Pradesh,2021,Capital: Loans from Centre,371.19
Arunachal Pradesh,2021,Capital: Misc Receipts,0.0
Arunachal Pradesh,2021,Capital: Public Debt Receipts,1482.71
Arunachal Pradesh,2021,FC Grant: Health,46.94
Arunachal Pradesh,2021,FC Grant: Others,0.0
Arunachal Pradesh,2021,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2021,FC Grant: Rural Local Bodies,142.75
Arunachal Pradesh,2021,FC Grant: SDMF,50.0
Arunachal Pradesh,2021,FC Grant: SDRF,200.0
Arunachal Pradesh,2021,FC Grant: Urban Local Bodies,0.0
Arunachal Pradesh,2021,Grants in Aid,4173.280000000001
Arunachal Pradesh,2021,Motor Vehicle Tax,48.94
Arunachal Pradesh,2021,Non-Debt Capital Receipts,6.85
Arunachal Pradesh,2021,Non-Tax Revenue,774.6700000000001
Arunachal Pradesh,2021,SGST,1131.0
Arunachal Pradesh,2021,SOTR,1639.79
Arunachal Pradesh,2021,Sales/Trade Tax,324.61
Arunachal Pradesh,2021,Share in Union Taxes,14643.9
Arunachal Pradesh,2021,Stamps & Registration,12.48
Arunachal Pradesh,2021,State Excise,115.92
Arunachal Pradesh,2021,Total Revenue Receipts,21231.64
Arunachal Pradesh,2022,Capital: Internal Debt,915.45
Arunachal Pradesh,2022,Capital: Loan Recoveries,4.86
Arunachal Pradesh,2022,Capital: Loans from Centre,1564.11
Arunachal Pradesh,2022,Capital: Misc Receipts,0.0
Arunachal Pradesh,2022,Capital: Public Debt Receipts,2479.56
Arunachal Pradesh,2022,FC Grant: Health,0.0
Arunachal Pradesh,2022,FC Grant: Others,0.0
Arunachal Pradesh,2022,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2022,FC Grant: Rural Local Bodies,0.0
Arunachal Pradesh,2022,FC Grant: SDMF,0.0
Arunachal Pradesh,2022,FC Grant: SDRF,210.4
Arunachal Pradesh,2022,FC Grant: Urban Local Bodies,0.0
Arunachal Pradesh,2022,Grants in Aid,3843.75
Arunachal Pradesh,2022,Motor Vehicle Tax,62.11
Arunachal Pradesh,2022,Non-Debt Capital Receipts,4.86
Arunachal Pradesh,2022,Non-Tax Revenue,1017.87
Arunachal Pradesh,2022,SGST,1607.05
Arunachal Pradesh,2022,SOTR,2237.35
Arunachal Pradesh,2022,Sales/Trade Tax,221.82
Arunachal Pradesh,2022,Share in Union Taxes,16689.17
Arunachal Pradesh,2022,Stamps & Registration,17.82
Arunachal Pradesh,2022,State Excise,280.87
Arunachal Pradesh,2022,Total Revenue Receipts,23788.14
Arunachal Pradesh,2023,Capital: Internal Debt,1411.58
Arunachal Pradesh,2023,Capital: Loan Recoveries,5.96
Arunachal Pradesh,2023,Capital: Loans from Centre,2363.42
Arunachal Pradesh,2023,Capital: Misc Receipts,0.0
Arunachal Pradesh,2023,Capital: Public Debt Receipts,3775.0
Arunachal Pradesh,2023,Electricity Duty,0.0
Arunachal Pradesh,2023,FC Grant: Health,0.0
Arunachal Pradesh,2023,FC Grant: Others,0.0
Arunachal Pradesh,2023,FC Grant: Revenue Deficit,0.0
Arunachal Pradesh,2023,FC Grant: Rural Local Bodies,0.0
Arunachal Pradesh,2023,FC Grant: SDMF,0.0
Arunachal Pradesh,2023,FC Grant: SDRF,220.8
Arunachal Pradesh,2023,FC Grant: Urban Local Bodies,0.0
Arunachal Pradesh,2023,Grants in Aid,3897.25
Arunachal Pradesh,2023,Motor Vehicle Tax,77.35
Arunachal Pradesh,2023,Non-Debt Capital Receipts,5.96
Arunachal Pradesh,2023,Non-Tax Revenue,900.9200000000001
Arunachal Pradesh,2023,SGST,1923.39
Arunachal Pradesh,2023,SOTR,2797.61
Arunachal Pradesh,2023,Sales/Trade Tax,515.84
Arunachal Pradesh,2023,Share in Union Taxes,19845.22
Arunachal Pradesh,2023,Stamps & Registration,23.46
Arunachal Pradesh,2023,State Excise,211.31
